EventCode,"_time",sourcetype,tag,user
4624,"1527547539.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527547088.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4768,"1527546789.000","WinEventLog:Security","authentication;os;security;windows",alice
4634,"1527545729.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527545729.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527544092.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527544090.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527544090.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527543867.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527542095.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527540588.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527540588.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527540588.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527540242.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527540122.000","WinEventLog:Security","authentication;os;security;windows",alice
4648,"1527540122.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527539598.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527539598.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527538421.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4624,"1527536883.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527536881.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527536689.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527536640.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4648,"1527534982.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527534721.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527534267.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4768,"1527533388.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527533388.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527533215.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527532921.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4768,"1527532390.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527532389.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527532082.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4648,"1527531667.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
