badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
0,"2018-03-13T16:25:09.295344Z",96,"2018-01-10T17:07:03.351581Z",user3753,"20170413175257.0Z"
0,"2018-03-12T23:28:10.595731Z",486,"2018-02-21T17:53:26.965214Z",user3761,"20170412163359.0Z"
0,"2018-03-14T07:44:24.871204Z",55,"2018-03-02T12:59:06.243416Z",user3785,"20170407161640.0Z"
,,,"2017-04-07T04:47:55.283513Z",user3789,"20170407044755.0Z"
0,"2018-03-08T04:58:26.631718Z",317,"2017-12-26T13:25:20.503317Z",user3816,"20170405023326.0Z"
0,"2018-02-16T22:58:23.712330Z",24,"2018-02-09T16:55:35.237637Z",user3820,"20170404201342.0Z"
0,"2018-03-14T17:57:30.240633Z",391,"2018-02-20T14:05:13.518687Z",user3824,"20170403200315.0Z"
0,"2018-03-13T14:04:04.235309Z",327,"2018-03-07T18:51:12.394381Z",user3833,"20170331190311.0Z"
0,"2018-03-12T06:16:28.227347Z",475,"2018-01-30T10:22:36.629374Z",user3836,"20170331164214.0Z"
0,"2018-03-16T07:51:56.150419Z",115,"2018-01-02T10:15:42.737520Z",user3856,"20170328050307.0Z"
0,"2018-03-16T19:34:18.778899Z",332,"2018-01-03T01:34:06.843173Z",user3860,"20170327184848.0Z"
0,"2018-03-05T01:02:40.554626Z",51,"2018-03-08T03:34:49.582609Z",user3865,"20170325091907.0Z"
0,"2018-03-12T12:49:30.480569Z",1149,"2017-12-25T23:00:30.264411Z",user3878,"20170321190319.0Z"
0,"2018-03-08T19:52:05.218683Z",8,"2017-12-11T14:19:51.743678Z",user3880,"20170321153642.0Z"
0,"2018-03-15T16:31:48.678400Z",7627,"2017-12-21T14:11:00.829945Z",user3890,"20170314210324.0Z"
0,"2018-03-12T07:46:48.641079Z",572,"2018-03-12T07:47:23.492317Z",user3903,"20170307030307.0Z"
0,"2018-03-06T22:32:23.046279Z",9,"2018-02-02T21:10:49.782445Z",user3906,"20170303224154.0Z"
0,"2018-03-16T01:48:40.904709Z",544,"2018-02-08T13:27:28.524941Z",user3918,"20170301201007.0Z"
0,"2018-03-13T16:31:18.484105Z",,"2017-03-01T19:10:40.355131Z",user3919,"20170301191040.0Z"
0,"2018-03-16T11:59:04.053919Z",911,"2018-02-26T14:01:55.893462Z",user3937,"20170218040216.0Z"
0,"2018-03-13T12:06:23.101723Z",222,"2018-03-05T18:16:32.790350Z",user3957,"20170213192216.0Z"
0,"2018-03-08T20:49:59.248843Z",382,"2018-02-05T13:23:27.492039Z",user3960,"20170213192216.0Z"
,"2018-03-06T17:58:02.143476Z",,"2017-02-09T23:06:02.709531Z",user3968,"20170209230602.0Z"
0,"2018-03-09T20:39:48.796000Z",337,"2018-03-09T20:40:14.027099Z",user3969,"20170209180653.0Z"
