"_time",folder,item,user
"1486028881.000",PROPOSALS,"FILE_580","USER_362"
"1486028892.000",PROPOSALS,"FILE_582","USER_362"
"1486042763.000","FOLDER_4","FILE_404","USER_342"
"1486042797.000","FOLDER_4","FILE_404","USER_342"
"1486042975.000","FOLDER_4","FILE_404","USER_342"
"1486043064.000","FOLDER_4","FILE_404","USER_342"
"1486043132.000","FOLDER_4","FILE_404","USER_342"
"1486043623.000","FOLDER_4","FILE_404","USER_342"
"1486043629.000","FOLDER_4","FILE_404","USER_342"
"1486046238.000","FOLDER_4","FILE_404","USER_342"
"1486048556.000",PROPOSALS,"FILE_466","USER_127"
"1486048786.000",PROPOSALS,"FILE_452","USER_127"
"1486048856.000",PROPOSALS,"FILE_639","USER_362"
"1486048885.000",PROPOSALS,"FILE_645","USER_362"
"1486048905.000",PROPOSALS,"FILE_615","USER_362"
"1486048915.000",PROPOSALS,"FILE_655","USER_362"
"1486048975.000",PROPOSALS,"FILE_631","USER_362"
"1486048985.000",PROPOSALS,"FILE_589","USER_362"
"1486049035.000",PROPOSALS,"FILE_611","USER_362"
"1486049045.000",PROPOSALS,"FILE_597","USER_362"
"1486049048.000",PROPOSALS,"FILE_644","USER_362"
"1486049725.000",PROPOSALS,"FILE_604","USER_362"
"1486049735.000",PROPOSALS,"FILE_632","USER_362"
"1486049747.000",PROPOSALS,"FILE_608","USER_362"
"1486049765.000",PROPOSALS,"FILE_643","USER_362"
"1486049775.000",PROPOSALS,"FILE_637","USER_362"
"1486049795.000",PROPOSALS,"FILE_654","USER_362"
"1486049805.000",PROPOSALS,"FILE_640","USER_362"
"1486049846.000",PROPOSALS,"FILE_598","USER_362"
"1486049855.000",PROPOSALS,"FILE_647","USER_362"
"1486049905.000",PROPOSALS,"FILE_646","USER_362"
"1486049936.000",PROPOSALS,"FILE_595","USER_362"
"1486049975.000",PROPOSALS,"FILE_609","USER_362"
"1486049995.000",PROPOSALS,"FILE_617","USER_362"
"1486050005.000",PROPOSALS,"FILE_601","USER_362"
"1486050035.000",PROPOSALS,"FILE_653","USER_362"
"1486050045.000",PROPOSALS,"FILE_593","USER_362"
"1486050075.000",PROPOSALS,"FILE_622","USER_362"
"1486050086.000",PROPOSALS,"FILE_606","USER_362"
"1486050105.000",PROPOSALS,"FILE_616","USER_362"
"1486050115.000",PROPOSALS,"FILE_649","USER_362"
"1486050135.000",PROPOSALS,"FILE_656","USER_362"
